visit_id,event_time,user_id,page
V000480,2026-06-12T10:00:59,U0011,/post/data-engineering
V000358,2026-06-12T10:01:09,U0117,/post/data-engineering
V000425,2026-06-12T10:01:30,U0079,/post/data-engineering
V000306,2026-06-12T10:02:04,U0059,/about
V000365,2026-06-12T10:02:15,U0114,/pricing
V000352,2026-06-12T10:02:19,U0011,/post/s3-full-load
V000476,2026-06-12T10:02:23,U0112,/post/idempotency
V000436,2026-06-12T10:02:31,U0077,/post/idempotency
V000322,2026-06-12T10:02:33,U0063,/post/s3-full-load
V000485,2026-06-12T10:02:42,U0077,/post/s3-full-load
V000303,2026-06-12T10:02:59,U0011,/post/data-engineering
V000424,2026-06-12T10:03:04,U0101,/post/data-engineering
V000364,2026-06-12T10:04:08,U0113,/pricing
V000459,2026-06-12T10:04:09,U0089,/about
V000431,2026-06-12T10:04:30,U0041,/home
V000393,2026-06-12T10:05:26,U0071,/about
V000350,2026-06-12T10:05:28,U0076,/home
V000455,2026-06-12T10:05:39,U0018,/post/s3-full-load
V000368,2026-06-12T10:05:41,U0026,/pricing
V000422,2026-06-12T10:05:44,U0084,/post/data-engineering
V000318,2026-06-12T10:05:52,U0064,/post/s3-full-load
V000309,2026-06-12T10:06:06,U0063,/post/data-engineering
V000427,2026-06-12T10:06:30,U0060,/about
V000328,2026-06-12T10:06:39,U0069,/post/s3-full-load
V000488,2026-06-12T10:06:58,U0062,/post/data-engineering
V000487,2026-06-12T10:07:15,U0041,/post/s3-full-load
V000353,2026-06-12T10:07:16,U0098,/pricing
V000316,2026-06-12T10:07:21,U0085,/home
V000484,2026-06-12T10:07:22,U0048,/pricing
V000448,2026-06-12T10:07:26,U0007,/home
V000454,2026-06-12T10:07:34,U0073,/post/s3-full-load
V000379,2026-06-12T10:07:36,U0014,/post/data-engineering
V000342,2026-06-12T10:07:56,U0022,/post/s3-full-load
V000345,2026-06-12T10:07:57,U0002,/about
V000371,2026-06-12T10:08:19,U0014,/pricing
V000302,2026-06-12T10:08:37,U0025,/post/s3-full-load
V000373,2026-06-12T10:08:37,U0093,/about
V000456,2026-06-12T10:09:03,U0029,/post/idempotency
V000327,2026-06-12T10:09:12,U0021,/pricing
V000348,2026-06-12T10:09:29,U0053,/pricing
V000500,2026-06-12T10:09:31,U0083,/post/idempotency
